identifierHash,country,language,socialNbFollowers,socialNbFollows,socialProductsLiked,productsListed,productsSold,productsPassRate,productsWished,productsBought,gender,hasAnyApp,hasAndroidApp,hasIosApp,hasProfilePicture,daysSinceLastLogin,seniority,country_short_list,x,y,kmeans
9011859748486828285,France,fr,3,8,1,0,0,0.0,0,0,F,True,False,True,True,695,2857,France,-0.15985414457889635,-0.07361238456782287,0.0
-3316258819106642295,Émirats arabes unis,en,3,8,1,0,0,0.0,0,0,F,True,False,True,True,30,2857,Other,-0.15975012119472007,-0.07343098034396828,0.0
3119161752960394666,Spain,es,3,8,83,0,0,0.0,3,0,F,True,False,True,False,19,2857,Spain,0.08592142653660112,0.740194373770761,0.0
2779129490271445018,US,en,3,8,0,0,0,0.0,1,0,F,False,False,False,True,696,2857,US,-0.14572854941757488,-0.09793270517660443,0.0
-9116010668296534189,Germany,de,6,8,1,0,0,0.0,0,1,F,True,True,False,True,665,2857,Germany,-0.1512854022851912,-0.06248848037113836,0.0
-7565524014872046216,Sweden,en,3,8,0,0,0,0.0,3,0,F,False,False,False,True,634,2857,Sweden,-0.11268399317995363,-0.12569512330949492,0.0
8101824380483895999,France,fr,3,8,0,0,0,0.0,2,0,F,False,False,False,True,688,2857,France,-0.12920986910002147,-0.11182018837410031,0.0
1594299186843437444,Spain,es,3,8,3,0,0,0.0,0,0,F,True,False,True,True,608,2857,Spain,-0.15505718086266088,-0.05272788735209944,0.0
-7142902737982634985,France,fr,4,12,12,0,0,0.0,5,2,M,True,False,True,False,57,2857,France,-0.0312684193130153,-0.008989215541627226,0.0
1576097590880141246,France,fr,3,8,1,0,0,0.0,0,0,F,True,True,True,True,22,2857,France,-0.15974886978558717,-0.0734287980375159,0.0
4990288193979221111,Sweden,en,3,8,16,0,0,0.0,0,0,F,True,False,True,True,28,2857,Sweden,-0.12387464852807673,0.08302529998054761,0.0
-7279576607487387695,UK,en,3,8,1,0,0,0.0,1,0,F,False,False,False,True,71,2857,UK,-0.14323910575810597,-0.087331830168485,0.0
4307246941158644276,UK,en,3,8,0,0,0,0.0,1,0,M,True,False,True,True,694,2857,UK,-0.14572823656529163,-0.09793215959999141,0.0
-6188668663117456687,US,en,3,8,1,0,0,0.0,0,0,F,False,False,False,True,696,2857,US,-0.15985430100503797,-0.07361265735612942,0.0
9068063862874216225,Italy,it,3,8,4,0,0,0.0,0,0,F,True,False,True,True,646,2857,Italy,-0.15267144773508504,-0.04230787099122147,0.0
